City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Shingu,JP,33.7333,135.9833,34.92,60,9,5.7,clear sky
182,Ambulu,ID,-8.345,113.6058,75.7,88,100,3.38,light rain
183,Uray,RU,60.1247,64.7758,2.68,85,100,13.51,overcast clouds
184,Pangnirtung,CA,66.1451,-65.7125,0.84,81,100,5.01,overcast clouds
185,Udachnyy,RU,66.4167,112.4,-9.51,100,98,3.69,overcast clouds
186,San Patricio,US,28.017,-97.5169,79.21,44,0,8.21,clear sky
187,Grand Forks,US,47.9417,-97.4337,-5.87,74,100,29.93,overcast clouds
188,Turukhansk,RU,65.8167,87.9833,-19.44,88,12,5.53,few clouds
189,Larsnes,NO,62.2028,5.5773,38.01,87,100,17.45,overcast clouds
190,Broken Hill,AU,-31.95,141.4333,62.49,46,0,14.23,clear sky
191,Roald,NO,62.5833,6.1333,38.34,87,75,24.16,broken clouds
192,Japura,ID,-0.3167,102.35,72.91,97,100,2.91,overcast clouds
193,Umm Lajj,SA,25.0213,37.2685,65.57,45,0,14.27,clear sky
194,Moanda,GA,-1.5575,13.2178,77.07,71,91,3.06,overcast clouds
195,Sao Filipe,CV,14.8961,-24.4956,78.28,56,12,15.3,few clouds
196,Atuona,PF,-9.8,-139.0333,77.77,75,7,13.82,clear sky
197,Georgetown,MY,5.4112,100.3354,78.89,86,20,3.44,few clouds
198,Fairbanks,US,64.8378,-147.7164,2.3,75,75,9.22,broken clouds
199,Mundo Nuevo,MX,18.7,-95.5,74.19,77,26,7.65,scattered clouds
200,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-0.22,78,0,8.95,clear sky
201,Kruisfontein,ZA,-34.0033,24.7314,63.25,81,0,2.06,clear sky
202,Chumikan,RU,54.7183,135.315,6.57,96,100,5.5,overcast clouds
203,Bredasdorp,ZA,-34.5322,20.0403,64.27,85,7,3.27,clear sky
204,East London,ZA,-33.0153,27.9116,74.66,85,100,6.15,light rain
205,Severo-Yeniseyskiy,RU,60.3725,93.0408,-19.86,99,11,3.24,few clouds
206,Bambous Virieux,MU,-20.3428,57.7575,76.21,79,12,2.06,few clouds
207,Natal,BR,-5.795,-35.2094,84.85,74,40,16.11,scattered clouds
208,Anshun,CN,26.25,105.9333,37.29,90,100,4.61,overcast clouds
209,Fortuna,US,40.5982,-124.1573,73.85,52,20,1.01,few clouds
210,Touros,BR,-5.1989,-35.4608,85.1,70,31,13.18,scattered clouds
211,Jingdezhen,CN,29.2947,117.2079,43.41,97,100,2.15,overcast clouds
212,Necochea,AR,-38.5473,-58.7368,63.03,65,100,18.1,light rain
213,Batemans Bay,AU,-35.7167,150.1833,62.1,90,41,5.57,scattered clouds
214,Bathsheba,BB,13.2167,-59.5167,79.23,60,5,20.56,clear sky
215,Najran,SA,17.4924,44.1277,66.87,18,0,3.87,clear sky
216,Goure,NE,13.9835,10.2704,65.12,13,0,10.02,clear sky
217,Sorong,ID,-0.8833,131.25,77.77,82,100,4.5,overcast clouds
218,Kalmunai,LK,7.4167,81.8167,77.49,87,100,3.78,overcast clouds
219,Khilok,RU,51.3674,110.4676,-9.89,98,100,1.23,overcast clouds
220,Kabalo,CD,-6.05,26.9167,70.29,97,99,4.36,overcast clouds
221,Salalah,OM,17.0151,54.0924,73.49,60,20,3.44,few clouds
222,Nanortalik,GL,60.1432,-45.2371,29.52,81,100,7.16,overcast clouds
223,Tazovskiy,RU,67.4667,78.7,-3.55,79,96,15.19,overcast clouds
224,Hervey Bay,AU,-25.2986,152.8535,69.04,73,2,13.8,clear sky
225,Airai,TL,-8.9266,125.4092,60.57,94,100,1.36,light rain
226,Dhangadhi,NP,28.7079,80.5961,52.81,78,0,3.29,clear sky
227,Lerwick,GB,60.1545,-1.1494,42.8,76,100,19.37,overcast clouds
228,Ikalamavony,MG,-21.15,46.5833,70.59,84,43,6.93,scattered clouds
229,Balkanabat,TM,39.5108,54.3671,43.86,66,30,0.29,scattered clouds
230,Upernavik,GL,72.7868,-56.1549,-15.18,79,100,14.52,overcast clouds
231,Nouakchott,MR,18.0858,-15.9785,84.13,24,68,13.42,broken clouds
232,Rigaud,CA,45.4793,-74.3024,40.32,70,100,6.87,overcast clouds
233,Lompoc,US,34.6391,-120.4579,86.02,26,0,4.61,clear sky
234,Ponta Delgada,PT,37.7333,-25.6667,62.51,67,75,2.3,broken clouds
235,Coromandel,BR,-18.4733,-47.2003,68.85,91,98,3.69,light rain
236,Mae Sai,TH,20.4335,99.8762,60.89,56,0,2.73,clear sky
237,Sokolo,ML,14.7328,-6.1219,76.69,13,0,10.25,clear sky
238,Lagoa,PT,39.05,-27.9833,59.72,79,100,13.24,overcast clouds
239,Buala,SB,-8.145,159.5921,75.67,96,100,1.41,heavy intensity rain
240,Yulara,AU,-25.2406,130.9889,72.63,36,0,8.75,clear sky
241,Sergeyevka,KZ,53.88,67.4158,13.32,92,100,17.4,light snow
242,Maneadero,MX,31.7167,-116.5667,70.11,55,0,5.01,clear sky
243,Bacolod,PH,10.6667,122.95,77.04,89,88,11.36,overcast clouds
244,Griffith,US,41.5284,-87.4237,45.91,71,75,17.27,broken clouds
245,Ukiah,US,39.1502,-123.2078,80.65,35,0,0.0,clear sky
246,Kiunga,PG,-6.1219,141.2906,71.06,99,100,1.21,overcast clouds
247,Clarence Town,AU,-32.5833,151.7833,72.86,85,87,4.07,overcast clouds
248,Pergamino,AR,-33.89,-60.5736,61.52,87,100,21.77,overcast clouds
249,Khatanga,RU,71.9667,102.5,1.98,79,66,15.59,broken clouds
250,Tommot,RU,58.9564,126.2925,-16.74,100,99,1.36,overcast clouds
251,Taoudenni,ML,22.6783,-3.9836,66.79,20,0,9.66,clear sky
252,Usinsk,RU,65.9939,57.5281,11.07,87,100,15.46,overcast clouds
253,Angul,IN,20.85,85.1,61.12,43,75,2.53,broken clouds
254,Kununurra,AU,-15.7667,128.7333,78.78,94,40,0.0,scattered clouds
255,Caiaponia,BR,-16.9567,-51.8103,72.82,89,100,6.91,overcast clouds
256,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,4.61,light snow
257,Vanavara,RU,60.34,102.2797,-22.45,100,86,1.21,overcast clouds
258,Port Hardy,CA,50.6996,-127.4199,43.75,76,77,3.67,broken clouds
259,Acapulco,MX,16.8634,-99.8901,84.02,61,75,8.05,broken clouds
260,Mayskiy,RU,47.6931,40.1025,40.44,88,96,16.82,overcast clouds
261,Portland,US,45.5234,-122.6762,64.09,60,20,11.01,smoke
262,Makokou,GA,0.5738,12.8642,81.59,50,99,3.27,overcast clouds
263,Smithers,CA,54.7804,-127.1743,29.57,78,100,0.65,overcast clouds
264,Roma,US,43.2128,-75.4557,49.86,49,100,6.91,overcast clouds
265,Flagstaff,US,35.1981,-111.6513,62.56,10,0,12.66,clear sky
266,Honolulu,US,21.3069,-157.8583,78.62,68,20,5.75,few clouds
267,Constitucion,CL,-35.3333,-72.4167,70.54,44,0,15.37,clear sky
268,Saldanha,ZA,-33.0117,17.9442,65.53,89,0,20.69,clear sky
269,Tura,IN,25.5198,90.2201,54.19,68,0,1.83,clear sky
270,Bemidji,US,47.4736,-94.8803,6.19,63,0,18.41,clear sky
271,Maniitsoq,GL,65.4167,-52.9,27.97,97,100,18.34,snow
272,Mahanoro,MG,-19.9,48.8,75.2,84,84,4.5,broken clouds
273,North Platte,US,41.1239,-100.7654,44.49,57,75,25.32,broken clouds
274,Dikson,RU,73.5069,80.5464,1.49,83,100,28.61,overcast clouds
275,George,ZA,-33.963,22.4617,65.88,72,0,3.94,clear sky
276,Haines Junction,CA,60.7522,-137.5108,17.69,95,100,2.39,light snow
277,Khipro,PK,25.8285,69.3772,62.94,24,0,1.97,clear sky
278,Saint-Francois,FR,46.4154,3.9054,34.68,79,0,3.44,clear sky
279,Vila Velha,BR,-20.3297,-40.2925,76.95,88,75,11.5,moderate rain
280,Chicama,PE,-7.8447,-79.1469,70.34,54,67,11.5,broken clouds
281,Poum,NC,-20.2333,164.0167,80.42,79,100,7.14,overcast clouds
282,Bastia,FR,42.6667,9.3333,52.93,77,100,3.44,overcast clouds
283,Acara,BR,-1.9608,-48.1967,79.88,80,100,3.29,overcast clouds
284,Vardo,NO,70.3705,31.1107,28.6,86,96,23.02,overcast clouds
285,Barcelona,ES,41.3888,2.159,55.47,81,0,2.3,clear sky
286,Khandyga,RU,62.6667,135.6,-43.56,100,76,1.16,broken clouds
287,Hami,CN,42.8,93.45,30.02,52,100,0.16,overcast clouds
288,Cururupu,BR,-1.8283,-44.8683,82.63,71,98,5.35,overcast clouds
289,Kamenka,RU,51.3223,42.7678,35.74,99,100,16.71,overcast clouds
290,Barabinsk,RU,55.3571,78.357,-19.01,100,75,5.41,broken clouds
291,Marsabit,KE,2.3284,37.9899,73.4,40,81,11.07,broken clouds
292,Chokurdakh,RU,70.6333,147.9167,-5.12,96,100,12.46,overcast clouds
293,Kazachinskoye,RU,57.6953,93.2761,-14.96,100,41,3.4,scattered clouds
294,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,5.75,few clouds
295,Leh,IN,34.1667,77.5833,-10.68,57,7,4.25,clear sky
296,Cortes,ES,41.9395,-1.4396,52.39,77,56,9.86,broken clouds
297,Santiago,CL,-33.4569,-70.6483,86.29,37,20,13.8,few clouds
298,At-Bashi,KG,41.1702,75.8106,15.53,89,99,0.69,overcast clouds
299,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,83.79,66,65,2.95,broken clouds
300,Itarema,BR,-2.9248,-39.9167,82.58,70,46,14.07,scattered clouds
301,Rabo De Peixe,PT,37.8,-25.5833,61.29,80,75,2.3,broken clouds
302,Turayf,SA,31.6725,38.6637,44.31,58,7,8.68,clear sky
303,Cairns,AU,-16.9167,145.7667,73.35,93,40,2.3,scattered clouds
304,Chunoyar,RU,57.4467,97.3217,-17.61,100,10,3.6,clear sky
305,Buchanan,LR,5.8808,-10.0467,82.36,82,22,8.28,few clouds
