City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Yoichi,JP,2022-02-01 22:05:20,43.2039,140.7703,22.23,75,100,7.56
121,Igrim,RU,2022-02-01 22:05:20,63.1906,64.4162,-8.63,100,89,4.32
122,Lady Lake,US,2022-02-01 22:05:21,28.9175,-81.9229,71.01,45,0,1.99
123,Leningradskiy,RU,2022-02-01 22:05:21,69.3833,178.4167,-12.24,95,45,10.74
124,Ternate,ID,2022-02-01 22:05:21,0.8,127.4,79.11,75,100,5.73
125,San Carlos De Bariloche,AR,2022-02-01 22:05:21,-41.1456,-71.3082,75.43,40,0,25.32
126,Lachhmangarh,IN,2022-02-01 22:05:22,27.8214,75.0251,55.56,40,0,3.4
127,Saldanha,ZA,2022-02-01 22:05:22,-33.0117,17.9442,64.83,97,36,11.07
128,Mamedkala,RU,2022-02-01 22:05:23,42.1677,48.1199,38.8,83,8,1.99
129,Iqaluit,CA,2022-02-01 22:05:23,63.7506,-68.5145,-14.31,75,100,8.99
130,Lazurne,UA,2022-02-01 22:05:23,46.084,32.5295,37.02,84,100,7.92
131,Gornopravdinsk,RU,2022-02-01 22:05:24,60.05,69.9,2.89,99,91,4.16
132,Port Alfred,ZA,2022-02-01 22:05:24,-33.5906,26.891,77.02,82,100,6.8
133,Hobyo,SO,2022-02-01 22:00:57,5.3505,48.5268,77.52,83,100,17.63
134,Qaqortoq,GL,2022-02-01 22:05:24,60.7167,-46.0333,16.3,94,17,2.95
135,Goderich,CA,2022-02-01 22:05:25,43.7501,-81.7165,41.56,79,100,22.77
136,Lasem,ID,2022-02-01 22:06:25,-6.6922,111.4527,76.95,90,76,4.41
137,Coihaique,CL,2022-02-01 22:06:25,-45.5752,-72.0662,67.95,37,100,11.5
138,Konstantinovka,RU,2022-02-01 22:06:26,49.6167,127.9833,-16.55,96,16,4.65
139,Shumskiy,RU,2022-02-01 22:06:26,54.8318,99.1328,-5.08,98,73,2.28
140,Avera,US,2022-02-01 22:06:26,33.194,-82.5271,63.91,54,0,7.83
141,Kathu,TH,2022-02-01 22:06:27,7.9178,98.3332,73.22,76,48,8.21
142,Harlingen,US,2022-02-01 22:04:25,26.1906,-97.6961,78.35,50,0,12.66
143,Kangaba,ML,2022-02-01 22:06:27,11.9333,-8.4167,76.3,13,62,5.91
144,Katsuura,JP,2022-02-01 22:06:27,35.1333,140.3,39.31,45,31,19.39
145,Charters Towers,AU,2022-02-01 22:06:28,-20.1,146.2667,80.69,70,100,8.34
146,Almaznyy,RU,2022-02-01 22:06:28,48.0448,40.045,33.94,96,100,8.75
147,Walvis Bay,NA,2022-02-01 22:06:28,-22.9575,14.5053,69.1,82,49,5.03
148,Asau,RO,2022-02-01 22:06:29,46.4333,26.4,30.4,94,89,4.14
149,Tuktoyaktuk,CA,2022-02-01 22:02:07,69.4541,-133.0374,-6.61,97,100,7.31
150,Villa Union,MX,2022-02-01 22:06:29,23.2,-106.2333,78.76,32,0,11.5
151,Ostrovnoy,RU,2022-02-01 22:06:29,68.0531,39.5131,17.98,91,100,8.1
152,Isangel,VU,2022-02-01 22:02:10,-19.55,169.2667,81.63,76,100,2.66
153,Pisco,PE,2022-02-01 22:00:54,-13.7,-76.2167,71.02,82,72,9.57
154,Quibor,VE,2022-02-01 22:06:30,9.9287,-69.6201,83.1,35,100,10.98
155,Omaruru,NA,2022-02-01 22:06:30,-21.4333,15.9333,68.02,66,50,4.65
156,Sao Filipe,CV,2022-02-01 22:02:03,14.8961,-24.4956,74.34,78,83,0.89
157,Galesong,ID,2022-02-01 22:06:31,-5.3166,119.3661,75.22,83,99,3.98
158,Torbay,CA,2022-02-01 22:05:31,47.6666,-52.7314,23.76,60,66,5.01
159,Lavrentiya,RU,2022-02-01 22:06:31,65.5833,-171.0,0.59,79,17,16.31
160,Hasaki,JP,2022-02-01 22:06:32,35.7333,140.8333,34.2,51,0,21.05
161,Geraldton,AU,2022-02-01 22:00:51,-28.7667,114.6,84.61,26,55,26.46
162,Nuqui,CO,2022-02-01 22:06:32,5.7125,-77.2708,79.61,77,63,3.51
163,Peniche,PT,2022-02-01 22:06:32,39.3558,-9.3811,56.44,67,0,6.2
164,Tuatapere,NZ,2022-02-01 22:06:33,-46.1333,167.6833,73.81,69,93,7.54
165,Hervey Bay,AU,2022-02-01 22:06:33,-25.2986,152.8535,85.03,78,100,12.75
166,Hualmay,PE,2022-02-01 22:06:33,-11.0964,-77.6139,73.99,74,39,10.89
167,Port Elizabeth,ZA,2022-02-01 22:02:10,-33.918,25.5701,76.1,75,100,4.16
168,Lakes Entrance,AU,2022-02-01 22:06:34,-37.8811,147.981,63.16,58,26,14.27
169,West Fargo,US,2022-02-01 22:06:12,46.875,-96.9004,6.8,71,75,11.99
170,Lagoa,PT,2022-02-01 22:06:34,39.05,-27.9833,58.48,74,69,16.73
171,Encruzilhada Do Sul,BR,2022-02-01 22:06:34,-30.5439,-52.5219,75.36,53,19,11.39
172,Athens,GR,2022-02-01 22:06:35,37.9795,23.7162,57.94,89,75,1.01
173,Necochea,AR,2022-02-01 22:05:06,-38.5473,-58.7368,72.03,56,7,9.33
174,San Policarpo,PH,2022-02-01 22:06:35,12.1791,125.5072,78.35,84,99,11.1
175,Ejido,VE,2022-02-01 22:06:35,8.5514,-71.2375,72.12,69,99,3.18
176,Warren,US,2022-02-01 22:06:36,39.4334,-84.1666,59.56,43,0,5.75
177,Mayakonda,IN,2022-02-01 22:06:36,14.2833,76.0833,67.5,42,5,2.73
178,Ous,RU,2022-02-01 22:06:37,60.9058,61.5186,18.36,96,100,5.93
179,Quzhou,CN,2022-02-01 22:06:37,28.9594,118.8686,36.7,97,100,7.2
180,Eyl,SO,2022-02-01 22:06:37,7.9803,49.8164,75.13,83,100,14.72
181,Tiksi,RU,2022-02-01 22:07:38,71.6872,128.8694,-12.69,99,100,4.45
182,Kalmunai,LK,2022-02-01 22:07:38,7.4167,81.8167,72.68,76,0,2.91
183,Kashi,CN,2022-02-01 22:07:38,39.4547,75.9797,24.48,48,67,2.77
184,Coquimbo,CL,2022-02-01 22:02:03,-29.9533,-71.3436,67.33,75,67,7.43
185,Macaubas,BR,2022-02-01 22:02:55,-13.0194,-42.6986,73.26,79,88,3.04
186,Kilindoni,TZ,2022-02-01 22:07:39,-7.9139,39.6668,80.62,79,10,8.59
187,Bemidji,US,2022-02-01 22:07:39,47.4736,-94.8803,9.91,68,0,23.02
188,Lugovoy,KZ,2022-02-01 22:07:39,42.9472,72.7644,28.71,64,0,4.41
189,Berlevag,NO,2022-02-01 22:07:40,70.8578,29.0864,17.55,67,0,4.61
190,Luorong,CN,2022-02-01 22:07:40,24.4058,109.6086,44.17,90,100,7.81
191,San Patricio,US,2022-02-01 22:07:40,28.017,-97.5169,79.21,45,5,1.86
192,Thinadhoo,MV,2022-02-01 22:07:41,0.5333,72.9333,82.99,70,44,12.46
193,Saquena,PE,2022-02-01 22:07:41,-4.6667,-73.5167,84.78,63,96,2.59
194,Chuy,UY,2022-02-01 22:07:41,-33.6971,-53.4616,67.62,61,0,9.1
195,Mastung,PK,2022-02-01 22:07:41,29.7994,66.845,50.63,36,61,8.01
196,Shelburne,CA,2022-02-01 22:07:42,44.0787,-80.2041,35.6,62,100,19.62
197,Norman Wells,CA,2022-02-01 22:00:56,65.282,-126.8329,-11.34,99,83,1.9
198,Ampanihy,MG,2022-02-01 22:07:42,-24.7,44.75,71.38,78,0,10.98
199,Sistranda,NO,2022-02-01 22:07:43,63.7256,8.834,23.9,67,100,6.89
200,Guerrero Negro,MX,2022-02-01 22:07:43,27.9769,-114.0611,63.97,60,100,14.9
201,Atambua,ID,2022-02-01 22:07:43,-9.1061,124.8925,74.08,87,61,4.92
202,Baruun-Urt,MN,2022-02-01 22:07:44,46.6806,113.2792,-12.08,95,6,5.19
203,Mattru,SL,2022-02-01 22:07:44,7.6244,-11.8332,73.85,95,60,1.99
204,Salalah,OM,2022-02-01 22:07:44,17.0151,54.0924,68.09,49,0,4.61
205,Corat,AZ,2022-02-01 22:07:44,40.5725,49.7064,33.89,84,0,5.12
206,Paris,FR,2022-02-01 22:06:02,48.8534,2.3488,51.98,89,100,7.0
207,Chandler,US,2022-02-01 22:03:39,33.3062,-111.8412,71.24,19,75,0.0
208,Tura,IN,2022-02-01 22:07:45,25.5198,90.2201,51.8,79,2,4.09
209,Baker City,US,2022-02-01 22:07:45,44.7749,-117.8344,30.94,76,75,0.0
210,Bethel,US,2022-02-01 22:07:46,41.3712,-73.414,34.56,65,84,1.61
211,Saskylakh,RU,2022-02-01 22:07:46,71.9167,114.0833,-27.94,100,50,1.86
212,Acapulco,MX,2022-02-01 22:07:46,16.8634,-99.8901,82.22,69,20,5.75
